,Unnamed: 0,DAY,MONTH,YEAR,LATITUDE,LONGITUDE,Date,Time,Type,Depth,Depth.Error,Depth.Seismic.Stations,Magnitude,Magnitude.Type,Magnitude.Error,Magnitude.Seismic.Stations,Azimuthal.Gap,Horizontal.Distance,Horizontal.Error,Root.Mean.Square,ID,Source,Location.Source,Magnitude.Source,Status,I_D,FLAG_TSUNAMI,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
40,41,10,11,2008,37.565,95.833,11/10/2008,1:22:03,Earthquake,19.0,,432.0,6.3,MWC,,,17.4,,,0.86,USP000GNBJ,US,US,US,Reviewed,8207,,1,22,2.5,19.0,6.3,6.3,6.4,6.4,,,,,CHINA,,CHINA:  QINGHAI PROVINCE,40,,,,,3.0,1.0,4.0,2.0,,2.0,,2.0,,,,,3.0,1.0,4.0,2.0,,2.0,,1.0
41,42,10,12,2003,23.039,121.362,12/10/2003,4:38:12,Earthquake,10.0,,447.0,6.8,MWB,,,27.7,,,1.1,USP000CEXG,US,US,US,Reviewed,5746,,4,38,11.5,10.0,6.8,6.8,6.7,6.0,,,,,TAIWAN,,"TAIWAN:  T'AI-TUNG, KAO-HSIUN",30,,,,,1.0,1.0,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,
42,43,10,2,1982,-6.863,106.936,2/10/1982,16:17:52,Earthquake,39.8,7.4,,5.5,MB,,6.0,,,,1.2,USP0001JJP,US,US,US,Reviewed,4939,,16,17,51.5,40.0,5.5,,,5.5,,,,,INDONESIA,,"INDONESIA:  JAVA, SUKABUMI",170,,,,,17.0,1.0,3.5,2.0,,,,,,,,,17.0,1.0,3.5,2.0,,,,
43,44,10,3,1981,39.481,20.699,3/10/1981,15:16:20,Earthquake,31.1,3.1,,5.6,MB,,32.0,,,,1.2,USP0001CMT,US,US,US,Reviewed,4917,,15,16,19.8,31.0,5.6,,,5.6,,,,8.0,GREECE,,GREECE:  PREVEZA,130,2.0,1.0,,,,,,2.0,150.0,0.0,,,2.0,1.0,,,,,,2.0,150.0,3.0,,
44,45,10,3,1989,-13.702,34.42,3/10/1989,21:49:46,Earthquake,30.3,,,6.2,MB,,55.0,,,,0.9,USP0003STY,US,US,US,Reviewed,5191,,21,49,45.8,30.0,6.1,,6.1,6.2,,,,,MALAWI,,"MALAWI:  SALIMA, DEDZA, MOHINJI",10,9.0,1.0,,,100.0,2.0,28.0,4.0,,,,,9.0,1.0,,,100.0,2.0,28.0,4.0,,,,
45,46,10,3,1989,-4.346,152.797,3/10/1989,14:14:10,Earthquake,53.3,3.3,,5.8,MW,,,,,,0.9,USP0003STK,US,US,HRV,Reviewed,5190,,14,14,10.2,53.0,5.4,,5.4,5.6,,,,5.0,PAPUA NEW GUINEA,,PAPUA NEW GUINEA:  NEW BRITAIN:  RABAUL,170,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
46,47,10,4,1998,32.457,59.976,4/10/1998,15:00:53,Earthquake,33.0,,,5.8,MWC,,,,,,1.49,USP0008JU7,US,US,HRV,Reviewed,5491,,15,0,53.1,33.0,5.8,5.8,5.7,5.3,,,,,IRAN,,"IRAN:  BIRJAND, GONABAD",140,12.0,1.0,,,10.0,1.0,,2.0,,,600.0,3.0,12.0,1.0,,,10.0,1.0,,2.0,,,600.0,3.0
47,48,10,4,2003,38.221,26.958,4/10/2003,0:40:15,Earthquake,10.0,,471.0,5.8,MWB,,,15.1,,,1.12,USP000BUU9,US,US,US,Reviewed,5690,,0,40,15.1,10.0,5.7,5.7,5.6,5.6,,,,,TURKEY,,"TURKEY:  IZMIR, SEFERIHISAR",140,,,,,90.0,2.0,,2.0,,2.0,,2.0,,,,,90.0,2.0,,2.0,,2.0,,2.0
48,49,10,4,2005,-1.644,99.607,4/10/2005,10:29:11,Earthquake,19.0,,656.0,6.7,MWC,,,21.2,,,1.02,USP000DMTX,US,US,HRV,Reviewed,6659,Tsu,10,29,11.2,19.0,6.7,6.7,6.7,6.4,,,,5.0,INDONESIA,,INDONESIA:  PADANG,60,,,,,,,,,,,,,,,,,,,,,,,,
49,50,10,5,1985,-5.599,151.045,5/10/1985,15:35:51,Earthquake,26.7,3.3,,7.2,MW,,,,,,1.3,USP0002EN1,US,US,HRV,Reviewed,5068,,15,35,50.5,27.0,7.1,,7.1,6.3,,,,8.0,PAPUA NEW GUINEA,,"PAPUA NEW GUINEA:  NEW BRITAIN:  BIALLA, PIONA",170,1.0,1.0,,,,,1.0,2.0,,,,,1.0,1.0,,,,,1.0,2.0,,,,
50,51,10,5,1997,33.825,59.809,5/10/1997,7:57:30,Earthquake,10.0,,,7.3,MWB,,,,,,1.12,USP000820P,US,US,US,Reviewed,5461,,7,57,29.7,10.0,7.2,7.2,7.3,6.4,,,,10.0,IRAN,,"IRAN:  BIRJAND, GHAEN",140,1728.0,4.0,,,2300.0,4.0,100.0,4.0,10533.0,4.0,10533.0,4.0,1728.0,4.0,,,2300.0,4.0,100.0,4.0,10533.0,4.0,,
51,52,10,6,1975,43.024,147.734,6/10/1975,13:47:15,Earthquake,15.0,,,7.0,MS,,,,,,,USP0000BDP,US,US,US,Reviewed,6449,Tsu,13,47,14.5,15.0,7.0,,7.0,5.8,,,,,RUSSIA,,RUSSIA:  KURIL-JAPAN:  HOKKAIDO,50,,,,,,,,,,,,,,,,,,,,,,,,
52,53,10,6,1996,51.478,-176.847,6/10/1996,15:24:56,Earthquake,26.3,,,7.3,MWC,,,,,,1.0,USP0007JFZ,US,US,HRV,Reviewed,6498,Tsu,15,24,56.0,24.0,7.3,7.3,7.1,5.9,,,,,USA,AK,ALASKA:  ANDREANOF ISLANDS,150,,,,,,,,,,,,,,,,,,,,,,,,
